full_path,age,gender,pixels
['61/2006361_1907-12-25_1945.jpg'],38,1.0,[18. 18. 18. ... 15. 15. 15.]
['82/20064382_1986-10-12_2014.jpg'],28,1.0,[19. 23. 32. ... 27. 33. 33.]
['75/2006475_1931-01-20_2007.jpg'],76,1.0,[221. 220. 215. ... 196. 173. 159.]
['85/2006485_1981-05-10_2014.jpg'],33,1.0,[  1.  70. 135. ... 135. 134. 140.]
['81/20065381_1935-11-24_1960.jpg'],25,1.0,[54. 54. 54. ... 64. 64. 64.]
['98/20065598_1919-10-26_1973.jpg'],54,1.0,[ 30. 128. 137. ... 249. 254. 232.]
['79/2006579_1966-10-29_2003.jpg'],37,1.0,[234. 226. 205. ... 111. 126. 131.]
['83/200683_1980-02-27_2008.jpg'],28,0.0,[ 91. 120. 138. ... 205. 165. 157.]
['09/20068709_1949-06-19_2011.jpg'],62,1.0,[14. 20. 32. ... 22. 23. 27.]
['78/20069078_1974-04-24_2009.jpg'],35,1.0,[ 3.  5.  4. ... 35. 39. 48.]
['30/2006930_1962-07-07_2011.jpg'],49,1.0,[ 29.  51. 100. ...  52.  51.  56.]
['24/20069824_1979-07-26_2004.jpg'],25,0.0,[ 58.  66.  79. ... 242. 193. 161.]
['94/2007194_1945-06-15_2015.jpg'],70,1.0,[ 25.  13.  23. ...  17.  35. 109.]
['35/2007335_1920-09-13_1970.jpg'],50,1.0,[145.  24.   5. ... 234. 221. 202.]
['50/200750_1973-04-14_2014.jpg'],41,1.0,[46. 58. 44. ... 38. 38. 40.]
['71/20076571_1981-01-26_2010.jpg'],29,1.0,[ 3.  0.  0. ... 64. 49. 44.]
['87/2007787_1952-05-06_2014.jpg'],62,1.0,[ 37.  19.   5. ... 182. 172. 160.]
['16/2008016_1970-05-03_2009.jpg'],39,1.0,[189. 119.  68. ...  26.  20.  22.]
['97/2008097_1933-05-12_2008.jpg'],75,1.0,[207. 176.  96. ... 194.  29.  35.]
['84/2008784_1963-06-09_2007.jpg'],44,1.0,[135.  24.  13. ...  92.  49.  15.]
['29/20088629_1935-02-14_1956.jpg'],21,1.0,[211. 211. 199. ... 172. 174. 161.]
['15/20089715_1976-11-19_2012.jpg'],36,1.0,[197.  33.  44. ...  25.  25.  25.]
['89/20089_1929-01-27_2011.jpg'],82,1.0,[255. 231. 164. ...  76.  32.  21.]
['95/2009095_1947-08-07_1969.jpg'],22,0.0,[148. 148. 148. ... 157. 157. 157.]
['26/2009326_1985-09-16_2010.jpg'],25,1.0,[106.  99.  81. ...  33.  33.  33.]
['14/2009614_1964-05-13_2008.jpg'],44,1.0,[ 19.   9.   8. ... 214. 153. 125.]
['23/20096423_1988-03-24_2013.jpg'],25,1.0,[255. 244. 228. ... 115. 103.  87.]
['71/2009771_1983-08-13_2014.jpg'],31,1.0,[34. 34. 36. ... 35. 29. 29.]
['09/2009_1898-02-03_1950.jpg'],52,1.0,[215. 215. 215. ...  42.  42.  42.]
['72/3000072_1978-03-05_2013.jpg'],35,1.0,[173.  37.  15. ...  45.  15.   7.]
['36/30001236_1989-09-04_2011.jpg'],22,1.0,[1. 1. 3. ... 0. 1. 3.]
['35/30001835_1984-12-17_2013.jpg'],29,1.0,[145. 145. 137. ... 180. 179. 184.]
['17/30003517_1989-08-31_2012.jpg'],23,1.0,[126. 156.  84. ... 254. 255. 251.]
['28/30003728_1993-04-18_2013.jpg'],20,1.0,[ 62.  52.  53. ... 171. 169. 191.]
['25/30007125_1925-09-10_1948.jpg'],23,1.0,[162. 161. 141. ...  44.  50.  48.]
['57/30007557_1962-06-25_2011.jpg'],49,1.0,[229. 250. 241. ...  17.  12.   6.]
['87/30008387_1984-11-15_2012.jpg'],28,0.0,[191. 215. 193. ... 153.  18.  33.]
['53/30009853_1992-07-24_2015.jpg'],23,1.0,[224. 224. 226. ... 174. 173. 181.]
['89/3001089_1978-05-26_2008.jpg'],30,1.0,[233. 222. 194. ...  77.  68.  63.]
['99/3001099_1977-08-08_2011.jpg'],34,0.0,[ 81.  74. 144. ... 208. 162. 128.]
['33/3001133_1981-03-17_2012.jpg'],31,1.0,[ 86. 144.  34. ... 102.  16.  15.]
['14/300114_1946-03-05_2013.jpg'],67,1.0,[ 63.  27.  71. ... 212. 195. 188.]
['31/30011631_1989-09-26_2013.jpg'],24,1.0,[134. 132.  93. ...  47.  49.  70.]
['35/30011835_1964-01-29_2010.jpg'],46,1.0,[246. 237. 228. ... 133.  59.  72.]
['47/3001247_1985-09-30_2014.jpg'],29,1.0,[ 29.  25.  26. ... 198. 104.  52.]
['53/30012853_1987-04-20_2012.jpg'],25,0.0,[ 72.  58.  57. ... 124. 100.  96.]
['77/3001477_1944-09-27_2010.jpg'],66,0.0,[58.  6.  8. ... 11. 12. 14.]
['21/30015421_1992-06-08_2014.jpg'],22,1.0,[ 15.  19.  30. ... 244. 197. 181.]
['53/3002053_1971-04-16_2011.jpg'],40,1.0,[228. 227. 225. ... 241. 245. 246.]
['64/30020764_1988-02-23_2013.jpg'],25,1.0,[105. 143.  94. ... 232. 233. 238.]
['29/30021129_1984-09-20_2011.jpg'],27,1.0,[24. 42. 16. ... 60. 59. 55.]
['06/30022306_1986-07-12_2012.jpg'],26,1.0,[206. 206. 206. ...  19.  19.  19.]
['36/30022636_1968-03-18_2007.jpg'],39,1.0,[244. 244. 244. ...  12.  12.  12.]
['22/30026522_1982-09-01_2008.jpg'],26,1.0,[125. 131. 131. ...  12.   7.  14.]
['68/300268_1963-01-07_2009.jpg'],46,1.0,[ 18.   2.  15. ... 165. 107. 132.]
['25/30028425_1925-11-05_2008.jpg'],83,1.0,[201. 142.  84. ...  18.  18.  16.]
['12/30028612_1961-06-30_2008.jpg'],47,1.0,[  1.   1.   1. ... 106.  62.  13.]
['76/3002876_1961-05-04_2009.jpg'],48,0.0,[12. 12. 12. ...  9.  8.  6.]
['12/3002912_1983-04-07_2012.jpg'],29,1.0,[195. 205. 217. ... 246. 224. 210.]
['80/3002980_1928-02-16_2013.jpg'],85,1.0,[167. 168. 163. ...  42.  47.  50.]
['29/30029_1948-04-28_2012.jpg'],64,1.0,[111.  92.  75. ...  17.  16.  12.]
['21/3003021_1956-12-23_2014.jpg'],58,1.0,[222. 185.  70. ...  21.  15.  17.]
['43/3003343_1950-05-12_2011.jpg'],61,0.0,[  5.  49. 120. ...  18.  22.  21.]
['79/3003379_1966-11-10_2009.jpg'],43,0.0,[17. 33. 69. ... 19. 36. 66.]
['47/30034447_1957-04-20_2011.jpg'],54,1.0,[229. 233. 236. ...  61.  59.  64.]
['34/30034_1955-06-08_2014.jpg'],59,1.0,[19. 11.  8. ... 32. 48. 64.]
['83/3003683_1986-01-06_2014.jpg'],28,1.0,[175. 167. 156. ...  16.  16.  16.]
['80/30038580_1941-12-17_2011.jpg'],70,0.0,[139.  98.  76. ... 190. 173. 155.]
['67/30038667_1986-10-04_2012.jpg'],26,1.0,[43. 39. 27. ... 43. 49. 45.]
['03/30040203_1985-04-01_2006.jpg'],21,1.0,[63. 68. 71. ... 38. 52. 35.]
['35/30040535_1992-08-13_2015.jpg'],23,1.0,[157. 124. 115. ... 169. 120. 105.]
['63/3004363_1985-10-13_2014.jpg'],29,1.0,[ 13.  12.  17. ... 212. 217. 237.]
['51/30045851_1958-01-09_2011.jpg'],53,1.0,[158. 158. 158. ...  72.  72.  72.]
['96/3004596_1984-01-23_2012.jpg'],28,1.0,[ 97. 114.  59. ... 124. 141.  86.]
['02/30046202_1945-12-11_2012.jpg'],67,1.0,[202.  45.  66. ...  23.  21.  22.]
['31/3004631_1917-12-05_1959.jpg'],42,0.0,[197. 197. 197. ...  10.  10.  10.]
['34/3004634_1979-03-05_2010.jpg'],31,1.0,[ 21.  23.  22. ... 147. 177. 227.]
['71/3004671_1984-01-31_2014.jpg'],30,1.0,[39. 14. 17. ... 66. 60. 94.]
['52/30050352_1959-03-14_2006.jpg'],47,0.0,[ 82.  72.  70. ... 131. 102.  72.]
['72/3005072_1968-08-09_2009.jpg'],41,1.0,[149. 124.  67. ...  72.  56.  22.]
['04/30052704_1986-10-22_2010.jpg'],24,1.0,[68. 39. 33. ... 42. 93. 96.]
['61/300561_1949-08-20_1980.jpg'],31,1.0,[20. 20. 20. ... 36. 36. 36.]
['97/30057197_1992-02-29_2010.jpg'],18,0.0,[ 68.  76.  55. ... 250. 206. 161.]
['13/30058713_1991-12-09_2014.jpg'],23,1.0,[200. 222. 243. ...  85. 100. 129.]
['62/30061462_1991-03-12_2015.jpg'],24,0.0,[ 97.  96. 102. ...  55.  37.  59.]
['79/30062079_1991-03-13_2010.jpg'],19,0.0,[ 45.  52.  60. ... 247. 212. 184.]
['60/30062160_1968-11-26_2009.jpg'],41,0.0,[112. 107. 103. ... 162. 161. 157.]
['55/30063955_1922-12-16_1948.jpg'],26,1.0,[131. 139. 115. ...  43.  59.  46.]
['87/30064987_1992-11-19_2011.jpg'],19,0.0,[  0.   3.  10. ... 195. 179. 166.]
['50/300650_1894-09-15_1977.jpg'],83,1.0,[28. 28. 28. ... 53. 53. 53.]
['58/30066658_1911-10-20_1941.jpg'],30,1.0,[241. 241. 241. ... 212. 212. 212.]
['51/3006751_1949-03-28_2005.jpg'],56,1.0,[183. 190. 200. ...  62. 100. 171.]
['56/3006756_1977-01-12_2009.jpg'],32,1.0,[ 15.  19.  20. ...   1.  28. 205.]
['50/3006850_1961-08-26_2011.jpg'],50,1.0,[ 64.  30.  18. ... 157. 155. 179.]
['02/3006902_1954-10-30_2014.jpg'],60,1.0,[80. 80. 80. ... 10. 10. 10.]
['99/300699_1944-12-22_2008.jpg'],64,1.0,[ 31.  35.  34. ... 107. 114. 122.]
['57/3007157_1930-10-11_2010.jpg'],80,1.0,[110. 110.  98. ... 154. 145. 140.]
